id;created_date;updated_date;is_active;label;description
663cfa79-33ee-45c2-aa16-a34e16d4be89;2024-08-13T16:04:12;2024-08-13T23:58:35;false;perfectly unto stable;out idle hence
7082e426-f599-45d1-9ea2-d3fa7de91761;2024-08-14T02:33:44;2024-08-13T18:15:30;false;inherit around even;napkin furthermore brr
6c903692-beef-4c64-91aa-d14bd25011a9;2024-08-13T15:52:47;2024-08-14T04:36:08;true;that fan;gee likewise
c4f7f569-bcfe-45c8-aac4-3958b0e629df;2024-08-14T10:47:52;2024-08-14T01:56:35;true;likewise outside;obediently boohoo handicap
bf1dbdb2-b16f-4020-b216-0e1f03cd0b08;2024-08-13T22:48:29;2024-08-13T11:32:34;false;than blah back;amnesty miserably
ad4ce162-d3f1-479a-8abd-a7f4dcdc2439;2024-08-13T22:25:17;2024-08-14T01:59:25;true;tall near civilize;times tattle
ef38e0ec-5446-4a8b-9348-cbf86a8dec3e;2024-08-13T15:41:53;2024-08-14T01:31:24;true;bayonet utterly;yahoo oh
70828ed6-813e-4767-bcf4-8a07b36c34c6;2024-08-13T21:08:51;2024-08-13T23:58:46;true;because;over why
ed3584de-94e0-40d3-a465-1c6e66671413;2024-08-13T14:13:24;2024-08-14T10:44:51;false;gah notwithstanding;for gracefully
d4899940-22a3-4d1e-b3b8-a4f8a12b6dcd;2024-08-14T09:02:54;2024-08-13T21:35:08;false;vice equal fry;likely provided
