id;created_date;updated_date;is_active;label;description
c99ff21b-be29-481f-be33-864cc3d33635;2024-05-20T04:44:46;2024-05-19T18:08:09;false;abnormally merchandise;unfortunately hm poorly
f4c423d6-f014-4a57-ac11-63c415b711a0;2024-05-20T07:06:20;2024-05-20T03:24:11;false;leading bewitched;embezzle
163a0afd-ae82-4fef-89c8-797651b19b4c;2024-05-19T23:44:07;2024-05-20T04:50:11;false;bah behind movie;gladly
b2cc22f0-2462-4fe4-8905-695da4ecbd85;2024-05-20T06:36:25;2024-05-19T22:15:37;false;yahoo;assail round but
a8362f57-7601-425d-9143-7f15c305e18a;2024-05-19T18:51:29;2024-05-20T06:45:04;true;if voluntarily sherry;smoothly beyond
def0a260-0d5d-426f-bf9e-ec5038face9d;2024-05-19T18:15:30;2024-05-19T18:18:31;false;piece reset station;trouser hamstring
45dbd3cd-a1c8-454c-9234-395f2b494737;2024-05-20T07:25:09;2024-05-19T21:39:47;false;gullible outside;typeface snowflake
58575ea5-2ae7-476d-bf4a-20c9db943735;2024-05-20T07:30:40;2024-05-19T17:36:40;true;movie great psst;excepting
9cd3440f-5008-4006-b3ad-7796eb5c45ba;2024-05-19T20:36:49;2024-05-19T23:35:37;true;beyond voluntarily;despite whereas
6c98867f-5b90-49d4-93c0-e6d06368bfb9;2024-05-20T12:34:38;2024-05-20T10:45:27;true;boo oh;psst opine narrow
