id;user_id;session_id
d1492aa0-4fbe-4095-9f9e-d8f72df30590;1a4ff251-b481-4cf4-ad68-020230d0f7b3;89b2ea14-eb11-46ff-b5de-211d95485ddd
26400132-2d7a-499e-a89e-c50f5c1abb8a;944a4b72-6ae1-4981-b6e2-b5352a403d0e;c8b64a9d-4b63-4787-8bc0-10387ba704b3
660856e5-26be-4337-a614-2d7389272dd9;de51b29f-0d76-49dd-a3e0-4743f8fbb857;e2cec849-3df3-4321-88f9-76f52432f936
72e72a5d-9e3a-402d-a5ae-4f070e6f8c4b;8af2f480-6743-42f0-9ebd-a2de934e9132;5464ce99-cb19-4de0-a7f8-ab28a010362d
30d3987d-0b9b-477d-9abe-8b4e013cbfa7;d8139d79-d8fa-42f0-a040-2e2eca0d04c1;fb742ca2-2321-4c66-8e40-a726ef423c33
be1f0af3-cb4e-4409-9f52-33b4546aa904;2aed7f5c-2e73-4846-b699-ac5a7850c23d;b91a998b-a741-42b9-814c-a1efe97bf67d
1e09242e-f878-448e-b4a9-9c404fbae839;25a65b4e-afdc-445c-9619-5b0d380e4426;b9730208-fbf9-42e3-bc88-6a33b85c45f5
7ef07d1d-84b5-485b-85ac-be42bb874225;a2d54cc3-5fb0-4cba-a83f-e6c97347a6bb;0ea33631-7794-44f9-824c-e78d883dc237
b03d6f7b-159b-48fb-a27e-99918a8ecd49;5fe33b9a-59ba-4b7b-971a-0ee9558e2004;7b102518-7464-418e-a02f-5915c9908b7f
ea56fc7a-81e6-4ffa-a3d4-a822eb752214;41aa2774-ec20-4b5d-b337-07b19b61e594;cd915eca-25b2-4cad-bbb1-2398f420bfc9
