id;name;path;creation_date;recurrence;user_id
935bd8fe-92ee-4451-9650-53d04e4e4815;drelin substituer;sur;2024-08-12T13:58:00;26227;514c4c13-464b-414d-aa2a-d1387431b8e5
19daa6c0-b166-4c8d-821b-76950ac9f708;parfois;dès vraiment détacher;2024-08-11T20:44:05;3977;741622fd-4bbf-4717-b09c-af0fecd51f5d
32198ffe-3bd9-4007-9346-68e63ca7593c;céans tsoin-tsoin;déployer tout bzzz;2024-08-11T23:37:27;26344;ef54c48b-1989-4ba1-a111-7df01b09f586
00ec44e6-b46e-4c26-a5bb-c10ac6d200c2;aller;déjà épargner;2024-08-12T12:57:40;17907;2a7e6c9b-8549-4f68-980d-1460a42ea5fc
2d6d91b2-c268-4079-86bb-a65020e8dfd4;miam;puisque prout affirmer;2024-08-12T13:58:55;13045;68bd3f4e-1b4a-4efd-b254-e59ebf930708
ce37cd13-7b4e-42a9-932e-e1cb96fffd75;commis;malade envahir;2024-08-12T02:04:34;22546;58f5d0ce-88d2-458a-9a1f-ea0601c73821
f846bc3f-6084-4796-b5cb-d8e0e551e6da;chef alors que;circulaire à défaut de  pschitt;2024-08-12T11:04:05;13416;44b61e03-87c2-463e-9cf4-25c2dbf72b1f
fb5f83b0-f518-41a1-af43-11766f99fc8a;provoquer jusqu’à ce que à même;effectuer tandis que dîner;2024-08-11T20:11:21;10461;b28c436b-7f58-4402-86ba-8c1f25520dff
9fc1eddb-12fe-44b6-bcf5-4c633ae9668a;en dépit de apprécier snob;recommander conseiller;2024-08-12T09:17:00;30901;b21cfd98-512d-4aa1-99d0-60a02a05d27f
b50f433f-e8bd-4e1b-84e6-828f4a1f537d;propre percevoir;foule souple;2024-08-12T00:27:55;28850;d62e68b9-6dec-453f-8406-fd5ee5bd0ee9
