id;name;created_by;created_date;updated_date;content;content_content_type
f4990bcc-4990-4695-a391-298ce2729d31;ici vorace redire;main-d’œuvre régner introduire;2024-08-16T01:45:56;2024-08-16T03:08:18;../fake-data/blob/hipster.png;image/png
55014c6d-1c3e-4196-87df-e14d050818ab;puisque direction triathlète;ah avant;2024-08-15T20:03:35;2024-08-16T04:30:16;../fake-data/blob/hipster.png;image/png
0b4d8816-1375-4dfc-b8ae-75ea744b9498;foule malade clac;au-dessus grandement coac coac;2024-08-15T17:24:41;2024-08-15T18:46:14;../fake-data/blob/hipster.png;image/png
7d1feaed-2d4e-4810-884f-cad93d4d8115;d'après sous sage;psitt ronron dès;2024-08-16T04:59:39;2024-08-16T02:13:19;../fake-data/blob/hipster.png;image/png
aa448222-b829-474e-9068-c9113add54c7;en outre de;au-dessous de;2024-08-16T04:46:35;2024-08-16T09:31:51;../fake-data/blob/hipster.png;image/png
1896f8fb-35de-4c3f-a3e2-21cac5e6f89d;blablabla plic;esquisser à partir de;2024-08-15T21:57:33;2024-08-16T03:16:51;../fake-data/blob/hipster.png;image/png
24fd098e-8b87-48fe-9d7b-ba2e387b12a5;grandement;splendide candide;2024-08-15T12:59:50;2024-08-15T18:11:35;../fake-data/blob/hipster.png;image/png
bc4cbdd9-8a16-48da-b126-dca6fec94681;en dedans de parce que;lâche peser;2024-08-15T23:10:03;2024-08-15T22:08:11;../fake-data/blob/hipster.png;image/png
4b83cbbf-0143-4cfd-94d8-c68673530e16;tant que;commis de cuisine premièrement;2024-08-15T14:34:32;2024-08-16T08:12:31;../fake-data/blob/hipster.png;image/png
6296714d-bad0-4f19-ba12-5b4138c5cd81;au prix de;tantôt juriste partir;2024-08-15T15:38:32;2024-08-15T13:37:37;../fake-data/blob/hipster.png;image/png
